I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24
10396.000000,-0.036393,-0.408820,0.035784,0.045504,-0.043940,-0.998189,2.427816,2.020612,0.278789,94.513245,119.670708,100.419197,101.763680,-0.002278,105.075539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10397.000000,-0.040432,-0.412672,0.032577,0.045502,-0.043893,-0.998180,2.427885,2.020672,0.278779,94.513245,119.670708,100.419197,101.763680,-0.002283,105.075539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10398.000000,-0.047826,-0.418836,0.028744,0.045494,-0.043853,-0.998159,2.427944,2.020726,0.278768,94.513245,119.670708,100.419197,101.763680,-0.002287,105.075539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10402.000000,-0.056984,-0.425340,0.027456,0.045492,-0.043819,-0.998129,2.427994,2.020772,0.278757,96.510315,114.678192,103.414780,108.752647,-0.002204,105.319839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10403.000000,-0.077273,-0.441970,0.056820,0.045512,-0.043699,-0.997900,2.428117,2.020915,0.278710,96.510315,114.678192,103.414780,108.752647,-0.001889,105.319839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10404.000000,-0.077279,-0.445383,0.063328,0.045524,-0.043662,-0.997860,2.428142,2.020943,0.278698,96.510315,114.678192,103.414780,108.752647,-0.001814,105.319839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10405.000000,-0.074960,-0.449458,0.064141,0.045521,-0.043648,-0.997818,2.428168,2.020967,0.278685,96.510315,114.678192,103.414780,108.752647,-0.001740,105.319839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10406.000000,-0.071787,-0.453196,0.060533,0.045531,-0.043628,-0.997804,2.428196,2.020988,0.278673,96.510315,114.678192,103.414780,108.752647,-0.001668,105.319839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10407.000000,-0.070677,-0.457475,0.055573,0.045523,-0.043605,-0.997794,2.428225,2.021005,0.278660,96.510315,114.678192,103.414780,108.752647,-0.001597,105.319839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408.000000,-0.071604,-0.463012,0.050188,0.045510,-0.043588,-0.997793,2.428252,2.021015,0.278647,96.510315,114.678192,103.414780,108.752647,-0.001528,105.319839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10411.000000,-0.072763,-0.468140,0.043963,0.045487,-0.043577,-0.997813,2.428277,2.021020,0.278634,99.505829,117.673485,106.410362,102.761536,-0.001336,105.725594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
