I0,I1,I2,I3,I4,I5,I6
20704.000000,-4.005249,10.370888,3.654796,-2.079102,1.156250,-0.673828
20705.000000,-6.932078,12.626986,4.691381,1.890137,-1.439941,0.482422
20706.000000,-6.505249,-3.958381,3.349918,-1.505859,0.244141,-1.361328
20707.000000,-5.834517,4.212351,6.764552,1.062012,-1.281738,-1.003418
20709.000000,0.080117,2.261131,7.984064,-0.083496,-0.843750,-1.039551
20709.000000,0.080117,2.261131,7.984064,-0.083496,-0.843750,-1.039551
20710.000000,-8.456469,12.322107,2.862113,-0.510742,0.885254,-1.082520
20711.000000,2.580117,15.614791,4.569430,-0.233887,-1.889648,0.087891
20712.000000,-11.261347,2.261131,3.471869,1.397949,0.438965,-1.618652
20713.000000,-2.785737,-7.129113,5.362113,-1.889160,0.101074,0.161133
20714.000000,-13.578420,3.907472,7.435284,2.829590,-0.222656,-3.420898
20715.000000,-0.102810,-12.373015,5.240162,-3.202148,0.617676,-0.201172
20716.000000,-10.224761,16.956253,6.093821,2.577637,-0.024902,-1.557129
20717.000000,1.360604,7.687961,3.106015,-3.049805,0.470703,0.854492
20718.000000,-1.139396,-8.897406,2.374308,-2.706543,0.328613,-0.985352
20719.000000,-1.139396,-8.897406,2.374308,-2.706543,0.328613,-0.985352
20720.000000,-7.236957,5.919667,6.520650,3.378906,-1.032227,-1.951172
20721.000000,-6.017444,-14.385211,2.374308,-3.459961,1.068359,-2.135742
20722.000000,-2.968664,11.651376,4.630405,2.901855,-0.534668,-1.241211
20723.000000,-5.468664,11.102595,2.557235,-2.610840,0.745117,-0.410156
20724.000000,-4.188176,10.005033,2.618211,2.483887,-0.713379,-0.058594
20725.000000,-9.005249,-5.543747,1.764552,-2.203125,0.089844,-0.966309
20726.000000,-1.566225,4.090400,3.898698,1.724121,-0.347168,-1.269043
20727.000000,-11.871103,-12.921796,3.776747,-1.574219,0.184082,-1.221191
20729.000000,-10.956469,15.736741,1.154796,-0.928711,0.533203,-1.016602
20729.000000,7.580117,11.895278,1.337723,0.249023,-0.839355,-0.038086
20730.000000,7.580117,11.895278,1.337723,0.249023,-0.839355,-0.038086
20731.000000,-11.993054,0.370887,1.642601,0.572754,-0.226074,-1.539063
20732.000000,-1.139396,-8.104723,2.374308,-0.721680,0.197266,-0.536621
20733.000000,-8.212566,3.541619,3.959674,2.520996,-0.551758,-3.699219
20734.000000,-1.871103,-17.860821,2.984064,-2.870605,0.967285,-0.742188
20735.000000,-4.675981,18.541618,1.581625,2.117188,-0.673828,-1.379883
20736.000000,-2.480859,4.334302,3.471869,-2.733398,0.995117,0.732422
20737.000000,-4.797932,10.492839,1.154796,2.953613,-0.801758,-0.543945
20738.000000,2.945970,2.870887,4.020650,2.808105,-1.471680,-1.439453
20739.000000,-13.395494,-17.555943,2.435284,-2.987305,2.007813,-1.664063
20740.000000,-13.395494,-17.555943,2.435284,-2.987305,2.007813,-1.664063
20741.000000,4.958166,6.712351,4.935284,2.385742,-0.974609,-0.057129
20742.000000,7.153288,10.919668,2.923089,2.989746,-1.937988,0.378906
20743.000000,-16.017445,-11.336430,3.227967,-2.380371,0.878418,-1.272461
20744.000000,5.933775,-7.616918,3.532845,1.843750,-0.138184,-0.133789
20745.000000,-18.578421,-13.043747,4.447479,-1.419434,0.387695,-2.622070
20746.000000,9.409386,-5.726674,3.654796,0.932617,-0.828613,-1.059570
20747.000000,-18.517445,13.053815,4.081625,-1.404297,0.739258,-0.697754
20749.000000,-17.297932,-0.482771,4.142601,-0.167480,0.012207,-1.209961
20749.000000,-17.297932,-0.482771,4.142601,-0.167480,0.012207,-1.209961
20750.000000,-1.200371,-12.373015,3.410893,0.153320,0.232910,-1.373047
20751.000000,-8.517445,-1.153503,4.630405,0.779785,-1.049316,-3.379883
20752.000000,-3.761347,-13.592527,4.386503,-1.238770,0.874512,-1.922363
20753.000000,-4.736957,18.297716,2.557235,0.895020,-1.497070,-0.751465
20754.000000,-6.993054,6.163570,3.349918,-1.234375,0.854492,0.251953
20755.000000,-4.371103,5.248936,1.642601,1.721191,-1.035645,-0.274902
20756.000000,-12.907688,-13.958382,4.203576,-1.548340,1.250977,-1.266602
20757.000000,1.421580,0.980643,3.045040,1.882324,-1.866699,-1.223145
20758.000000,4.409385,10.553814,2.374308,1.719238,-2.140137,-0.661133
20759.000000,4.409385,10.553814,2.374308,1.719238,-2.140137,-0.661133
20760.000000,-19.554029,8.846498,2.374308,-2.261230,2.511719,-0.743164
20761.000000,5.689873,13.968449,1.459674,2.291992,-2.436523,0.052246
20762.000000,-19.554029,-12.860820,2.435284,-1.581055,1.174805,-1.243164
20763.000000,2.763043,-8.287650,3.837723,0.962402,-0.855957,-0.177734
20764.000000,-23.090616,-7.433991,2.557235,-1.055176,1.207031,-2.899414
20765.000000,4.775239,-1.946186,4.081625,0.687500,-0.859863,-0.926270
20766.000000,-22.846712,16.590399,1.520650,-0.991211,1.247070,-0.969238
20767.000000,6.299629,9.090400,2.740162,0.613281,-1.300781,0.963867
20769.000000,0.811824,-11.641308,2.252357,0.187988,0.358398,-1.218262
20769.000000,-16.810127,-0.604723,3.837723,0.701660,-0.753418,-3.012695
20770.000000,-16.810127,-0.604723,3.837723,0.701660,-0.753418,-3.012695
20771.000000,-3.395493,-9.202284,1.703576,-1.137695,1.346191,-1.407715
20772.000000,-13.761347,17.444057,3.106015,0.645508,-0.671875,-0.506348
20773.000000,-5.102810,8.480643,1.947479,-1.401855,0.426270,0.295410
20774.000000,-14.736957,3.663570,1.459674,1.346680,-0.821777,-0.265625
20775.000000,-12.175981,-13.897406,2.557235,-1.232910,1.190918,-1.335938
20776.000000,-7.236957,5.187961,3.349918,1.741211,-1.952637,-2.212891
20777.000000,-17.663786,-14.263259,3.045040,-1.700684,2.177246,-1.790527
20778.000000,-20.773542,8.968449,3.106015,-2.093750,2.416016,-0.078125
20779.000000,-20.773542,8.968449,3.106015,-2.093750,2.416016,-0.078125
20780.000000,1.116702,13.602595,0.788942,2.280762,-3.085938,-0.702637
20781.000000,-20.895493,-13.531552,0.727967,-1.753906,1.400391,-2.168457
20782.000000,2.641092,-0.238869,1.154796,1.288086,-1.367676,-0.706055
20783.000000,-21.688177,-9.019357,1.825528,-0.951660,1.861816,-3.213379
20784.000000,4.165483,1.407472,0.666991,0.253418,-1.515137,0.140137
20785.000000,-24.736958,19.761131,2.313333,-0.401855,1.454590,-1.221680
20786.000000,5.750849,8.236741,0.118210,0.221680,-1.969238,1.534180
20787.000000,-23.578421,-0.177893,1.764552,-0.130859,0.891113,-1.882813
20789.000000,-19.310127,1.651375,1.276747,0.364746,0.131348,-3.156738
20789.000000,-4.736957,-10.238869,1.703576,-0.684570,-0.071777,-0.900391
20790.000000,-4.736957,-10.238869,1.703576,-0.684570,-0.071777,-0.900391
20791.000000,-17.236958,25.492838,0.666991,0.599121,0.189941,-1.013672
20792.000000,-6.444273,3.419667,0.606015,-0.828125,0.405762,1.080078
20793.000000,-13.212566,1.163570,0.118210,0.630371,-0.360840,-0.243652
20794.000000,-10.468664,-16.702284,2.679186,-0.285156,0.563477,-0.980469
20795.000000,-6.261347,2.566009,-0.308619,0.331055,-0.871582,-1.802734
20796.000000,-17.236958,-18.409601,1.215771,-0.760254,1.489746,-0.725586
20797.000000,-1.261347,18.297716,-0.979350,-0.116699,-1.128418,-0.660156
20798.000000,2.884995,9.883082,-0.003741,0.955566,-1.949707,-1.171875
20799.000000,-17.115005,-14.019357,2.069430,-0.416992,1.112305,-1.884277
20800.000000,-17.115005,-14.019357,2.069430,-0.416992,1.112305,-1.884277
20801.000000,3.494751,-1.092528,0.666991,0.895020,-1.664551,-1.962891
20802.000000,-19.066225,-15.970576,2.252357,-0.353027,1.557129,-2.581055
20803.000000,-18.334518,19.273325,4.325528,-0.103027,1.541992,-1.266113
20804.000000,-0.346713,7.383082,2.679186,0.204102,-1.097168,1.100586
20805.000000,-14.188176,-6.702284,3.166991,0.045898,0.682617,-1.771973
20806.000000,-3.151591,-10.787649,3.288942,0.077148,-0.864746,-0.704590
20807.000000,-9.432078,-0.970576,3.593820,0.207520,-0.479980,-3.383301
