tick,t_s,target_mm,fused_mm,height_err_mm,pos_out_mps,vz_mps,vel_error_mps,acc_up_mps2,tof_codebias_height_mm,tof_ownbias_height_mm,tof_codebias_spread_mm,steady_mask,fused_deriv_ref_mps,tof_deriv_ref_mps,tof1,tof2,tof3,tof4
113170.0,113.17,711.0,721.875183,10.875182999999993,-0.010408,0.011351,-0.021759,2.1713827066534748,712.46335,699.9171292499999,16.596684999999866,False,0.05944057775012013,0.011413271712200412,704.392151,725.379333,681.23645,757.915466
113181.0,113.181,711.0,722.813782,11.813781999999946,-0.010408,0.020948,-0.031356,2.0765267646762418,713.9216325,701.37541175,19.353032999999982,False,0.05661949758005136,0.010494784674804691,707.775513,724.328857,684.10968,758.54248
113190.0,113.19,711.0,724.006714,13.006713999999988,-0.012591,0.032322,-0.044912999999999995,1.6288540851066866,714.3389454999999,701.7927247499999,22.66711900000007,False,0.05464104421917071,0.00955693243601985,707.775513,729.935486,683.486389,755.228394
113201.0,113.20100000000001,711.0,724.749573,13.749573000000055,-0.012591,0.042009,-0.054599999999999996,1.7015242986057262,712.72584725,700.1796264999999,23.594887999999855,False,0.05148040566385248,0.007801775557133794,702.326172,725.546387,686.367859,755.732971
113210.0,113.21000000000001,711.0,725.432983,14.432983000000036,-0.014072,0.052243,-0.066315,2.408303762286709,711.62292675,699.0767059999998,22.37186500000007,False,0.04924722254258285,0.006236693826174644,700.146667,725.546387,684.640259,755.228394
113221.0,113.221,711.0,725.983337,14.983337000000006,-0.014072,0.061431,-0.075503,1.7440824267337143,711.4011707499999,698.8549499999999,26.90110100000004,False,0.045574031117396885,0.004559828201131211,702.326172,721.14447,687.572571,753.63147
113230.0,113.23,711.0,726.460693,15.460692999999992,-0.015154,0.066101,-0.081255,1.644802417112702,709.79226875,697.246048,23.968789000000015,False,0.04324917806833639,0.004421446074598379,698.822876,721.14447,684.640259,753.63147
113241.0,113.241,711.0,726.903503,15.903503,-0.015154,0.070362,-0.085516,1.7749445188635218,710.96316725,698.4169465,25.453774999999837,False,0.03997485543347068,0.005486719522451722,700.890625,718.708069,687.908875,755.4151
113250.0,113.25,711.0,727.194885,16.194885,-0.015944,0.070868,-0.086812,1.063770146758553,709.90132325,697.3551025,25.453774999999837,False,0.03792027688210453,0.006353538528390601,698.822876,716.528442,687.908875,755.4151
113261.0,113.261,711.0,727.487122,16.487122,-0.015944,0.066971,-0.082915,0.993212521936066,709.29417625,696.7479555,27.187111999999956,False,0.03507878331848957,0.006734220809363478,700.890625,713.765442,687.908875,753.681763
113270.0,113.27,711.0,727.91803,16.918030000000044,-0.016722,0.062677,-0.079399,1.1876133962535411,709.58410825,697.0378875,25.476722999999993,False,0.033499778967939875,0.006718000684287517,703.760742,713.765442,686.198486,753.681763
113281.0,113.281,711.0,728.29425,17.294250000000034,-0.016722,0.056643,-0.073365,0.5544241146626594,709.76786975,697.2216490000001,24.665306999999984,False,0.03153155196466173,0.006508375343479145,703.760742,712.883179,686.198486,755.299072
113290.0,113.29,711.0,729.046021,18.046020999999996,-0.017905,0.047959,-0.065864,0.12346850933674207,709.5447555,696.99853475,16.8328029999999,False,0.029756690805953667,0.006510877343266941,699.415771,722.875732,679.415161,755.542358
113301.0,113.301,711.0,729.924561,18.92456100000004,-0.017905,0.039377,-0.057282,-0.3438868665885422,711.67260925,699.1263885000001,18.95945100000006,False,0.026181505114493575,0.006521015695980736,699.415771,726.754639,682.794739,756.795288
113310.0,113.31,711.0,730.85498,19.854979999999955,-0.019769,0.029914,-0.049683,-0.7892680477995043,712.5660115000001,700.0197907500001,18.95945100000006,False,0.023433762731212227,0.006807745250650754,702.98938,726.754639,682.794739,756.795288
113321.0,113.321,711.0,731.525269,20.52526899999998,-0.019769,0.019957,-0.039726,-0.35805105733291565,711.87243825,699.3262175,23.432167999999933,False,0.01907741641178262,0.007093779697648017,702.98938,724.170227,684.936157,754.463989
113330.0,113.33,711.0,731.936768,20.93676800000003,-0.020907,0.012274,-0.033181,0.30893458643968336,711.9820115,699.4357907499999,26.33139899999992,False,0.0160558520321068,0.007215838092289317,700.781372,723.917297,687.835388,754.463989
