I0,I1,I2,I3,I4,I5,I6,I7,AB_I0_filt_mm,AB_I1_filt_mm,AB_h_pred_mm,AB_q0,AB_q1,AB_z_meas_mm,AB_fused_h_mm,AB_fused_vz_mps,AB_valid,AB_hold_cnt,AB_predict_only,AB_hard_relock
107.844803,113.836182,110.840492,0.000000,0.000000,0.000000,0.000000,0.000000,107.844826,114.834770,112.402469,0.962020,0.979731,111.371677,112.216927,-0.006979,1,0,0,0
102.851967,114.834724,108.843346,0.000000,0.000000,0.000000,0.000000,0.000000,107.844803,114.834724,112.147136,0.964147,0.977603,111.363983,112.006169,-0.009329,1,0,0,0
109.841927,114.834740,112.338333,0.000000,0.000000,0.000000,0.000000,0.000000,107.844803,114.834724,111.912883,0.966099,0.975651,111.356956,111.812817,-0.010996,1,0,0,0
103.850548,116.831863,110.341202,0.000000,0.000000,0.000000,0.000000,0.000000,103.850548,114.834740,111.702854,0.934564,0.973901,109.455846,111.298392,-0.017737,1,0,0,0
107.844833,113.836212,110.840523,0.000000,0.000000,0.000000,0.000000,0.000000,107.844833,114.834740,111.121019,0.972698,0.969052,111.333224,111.159216,-0.017101,1,0,0,0
104.849174,116.831932,110.840553,0.000000,0.000000,0.000000,0.000000,0.000000,104.849174,116.831863,110.988209,0.948841,0.951303,110.848280,110.963022,-0.017520,1,0,0,0
106.846313,112.837700,109.842010,0.000000,0.000000,0.000000,0.000000,0.000000,106.846313,113.836212,110.787817,0.967154,0.974597,110.354658,110.709848,-0.018820,1,0,0,0
106.846329,117.830528,112.338425,0.000000,0.000000,0.000000,0.000000,0.000000,106.846313,116.831932,110.521649,0.969372,0.947414,111.781927,110.748499,-0.015039,1,0,0,0
110.840599,114.834854,112.837723,0.000000,0.000000,0.000000,0.000000,0.000000,106.846329,114.834854,110.598108,0.968735,0.964694,110.832242,110.640252,-0.014337,1,0,0,0
106.846344,116.831985,111.839165,0.000000,0.000000,0.000000,0.000000,0.000000,106.846344,116.831985,110.496885,0.969579,0.947207,111.780892,110.728006,-0.010485,1,0,0,0
101.853508,111.839142,106.846329,0.000000,0.000000,0.000000,0.000000,0.000000,106.846344,114.834854,110.623159,0.968527,0.964903,110.833112,110.660950,-0.009855,1,0,0,0
103.850609,119.827621,111.839111,0.000000,0.000000,0.000000,0.000000,0.000000,103.850609,116.831985,110.562402,0.944068,0.947753,110.353940,110.524879,-0.010480,1,0,0,0
106.846260,117.830460,112.338364,0.000000,0.000000,0.000000,0.000000,0.000000,103.850609,117.830460,110.420077,0.945254,0.938247,110.814528,110.491078,-0.009297,1,0,0,0
106.846260,117.830452,112.338356,0.000000,0.000000,0.000000,0.000000,0.000000,106.846260,117.830460,110.398109,0.970401,0.938064,112.245300,110.730604,-0.003755,1,0,0,0
108.843391,113.836212,111.339798,0.000000,0.000000,0.000000,0.000000,0.000000,106.846260,117.830452,110.693051,0.967943,0.940522,112.259443,110.975001,0.000944,1,0,0,0
107.844826,114.834763,111.339798,0.000000,0.000000,0.000000,0.000000,0.000000,107.844826,114.834763,110.984440,0.973837,0.967914,111.329134,111.046485,0.001978,1,0,0,0
105.847679,114.834747,110.341217,0.000000,0.000000,0.000000,0.000000,0.000000,107.844826,114.834747,111.066265,0.973155,0.968596,111.331581,111.114022,0.002774,1,0,0,0
104.849121,116.831879,110.840500,0.000000,0.000000,0.000000,0.000000,0.000000,105.847679,114.834763,111.141761,0.955883,0.969225,110.372364,111.003269,0.000466,1,0,0,0
105.847702,116.831894,111.339798,0.000000,0.000000,0.000000,0.000000,0.000000,105.847679,116.831879,111.007927,0.956998,0.951467,111.323862,111.064795,0.001414,1,0,0,0
108.843384,118.829018,113.836197,0.000000,0.000000,0.000000,0.000000,0.000000,105.847702,116.831894,111.078930,0.956406,0.952059,111.327286,111.123634,0.002159,1,0,0,0
108.843361,108.843361,108.843361,0.000000,0.000000,0.000000,0.000000,0.000000,108.843361,116.831894,111.145220,0.980818,0.952611,112.779355,111.439365,0.007061,1,0,0,0
103.850540,118.828987,111.339767,0.000000,0.000000,0.000000,0.000000,0.000000,108.843361,118.828987,111.509975,0.977778,0.939008,113.735187,111.910513,0.013737,1,0,0,0
106.846230,116.831856,111.839043,0.000000,0.000000,0.000000,0.000000,0.000000,106.846230,116.831856,112.047879,0.956653,0.960134,111.848109,112.011921,0.013137,1,0,0,0
