I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14_KF3_VZ_OPT,I15_KF3_H_M,I16_KF3_ACC_BIAS,I17_KF3_QUALITY,I18_KF2_VZ,I19_LS15_VZ_REFONLY
125447.000000,732.182739,740.910889,707.385315,794.921875,1.025141,-3.416557,-2.001174,0.081508,725.216309,0.422279,0.177671,0.198581,0.170664,0.449093,0.740817,0.049293,0.648859,0.455475,0.348618
125457.000000,743.179749,740.910889,720.089478,804.825439,1.059099,-3.433487,-2.485597,0.095335,728.451172,0.440142,0.189415,0.209333,0.182576,0.464388,0.744687,0.050891,0.705867,0.473452,0.337565
125467.000000,745.166260,770.910889,721.177673,806.767761,1.053559,-3.426911,-3.326319,0.121812,734.037842,0.480408,0.228872,0.260612,0.222197,0.494220,0.750235,0.049159,0.603649,0.510598,0.335883
125477.000000,749.173767,774.965637,723.105530,807.773438,1.062401,-3.419828,-3.528397,0.146949,739.654968,0.520930,0.263673,0.302921,0.256936,0.526207,0.755954,0.047745,0.601722,0.548794,0.349879
125487.000000,750.196350,774.965637,739.036926,814.701721,1.085359,-3.417793,-3.587771,0.166082,744.472839,0.554958,0.283785,0.322857,0.276856,0.555222,0.761258,0.047981,0.674543,0.582339,0.378045
125497.000000,751.226624,774.965637,741.068726,820.730652,1.098967,-3.415151,-3.680578,0.180285,748.619080,0.584505,0.293764,0.328089,0.286665,0.581806,0.766255,0.049560,0.676428,0.612546,0.412821
125507.000000,768.273682,789.979431,751.993164,829.647766,1.108728,-3.391059,-3.319652,0.207226,755.136658,0.622040,0.330471,0.372310,0.323303,0.617786,0.772781,0.048348,0.659590,0.647807,0.456305
125517.000000,771.209290,792.977722,759.008911,834.614136,1.112207,-3.387289,-2.519061,0.230292,761.245422,0.647094,0.357354,0.400728,0.349971,0.648243,0.779194,0.048158,0.686131,0.671830,0.502551
125527.000000,776.292419,795.974854,760.008301,848.579895,1.147992,-3.397913,-2.389635,0.249981,766.993958,0.667617,0.377371,0.419124,0.369757,0.674133,0.785536,0.048778,0.647410,0.692061,0.547760
125537.000000,785.252380,803.007751,765.913757,851.513611,1.170091,-3.385098,-1.273296,0.272313,773.401855,0.679261,0.402871,0.445639,0.395076,0.696888,0.792330,0.048918,0.645315,0.702704,0.589898
125547.000000,796.304810,806.024170,766.898010,858.457153,1.189656,-3.337296,-0.048348,0.295595,780.199402,0.679552,0.430081,0.474474,0.422100,0.713111,0.799376,0.048927,0.630476,0.701662,0.630015
125557.000000,798.417969,814.017090,777.934875,862.402039,1.201167,-3.271504,1.079444,0.316630,786.836365,0.666638,0.451561,0.494540,0.443375,0.719108,0.806270,0.049540,0.649707,0.687798,0.663679
125567.000000,805.675110,814.017090,784.030212,870.348633,1.227184,-3.221222,1.219590,0.334388,793.110413,0.649298,0.465801,0.504329,0.457450,0.715815,0.812766,0.051097,0.672255,0.669953,0.687287
125577.000000,807.543152,824.989136,795.060791,875.278564,1.238760,-3.173973,-0.331251,0.351906,799.519836,0.648191,0.479656,0.514640,0.471238,0.712746,0.819221,0.052675,0.696220,0.668008,0.700083
125587.000000,819.842346,840.972534,799.123718,883.229858,1.209596,-3.110981,-1.723994,0.377104,807.448669,0.669984,0.510947,0.550797,0.502540,0.720941,0.826621,0.052143,0.629317,0.686921,0.710006
125597.000000,823.747986,840.972534,808.280640,887.257019,1.205447,-3.031977,-2.056690,0.396259,814.571777,0.689066,0.527996,0.565400,0.519510,0.728413,0.833459,0.053081,0.678027,0.704789,0.719967
125607.000000,840.183472,846.906921,817.619934,901.217224,1.215163,-2.918579,-0.950645,0.419523,822.605530,0.701675,0.554150,0.593530,0.545640,0.738890,0.840851,0.052953,0.684653,0.715098,0.736348
125617.000000,840.954468,874.800781,820.418701,908.152039,1.271126,-2.756800,-0.617638,0.447021,831.612915,0.717311,0.589898,0.635528,0.581331,0.753598,0.849110,0.051126,0.581807,0.727474,0.759705
125627.000000,852.533997,875.801208,829.802307,916.979675,1.358895,-2.616106,-0.081706,0.472733,840.582825,0.725484,0.620134,0.668127,0.611405,0.764313,0.857299,0.049751,0.611536,0.733280,0.787231
125637.000000,852.892761,880.833862,829.899536,922.754700,1.425069,-2.496037,0.392731,0.491313,848.561707,0.723215,0.635332,0.679570,0.626425,0.767446,0.864970,0.049723,0.583910,0.730285,0.813981
125647.000000,870.343201,880.833862,842.976746,933.566284,1.430963,-2.398639,0.681739,0.511575,857.020569,0.719291,0.653206,0.694197,0.644204,0.768158,0.872751,0.049486,0.636016,0.725365,0.842509
125657.000000,872.159668,880.852295,849.131287,940.503418,1.364782,-2.353412,0.028890,0.523482,864.220032,0.714286,0.653443,0.684067,0.644410,0.762392,0.879672,0.051167,0.655916,0.721198,0.862649
125667.000000,870.343201,909.566589,858.322571,948.597839,1.276797,-2.316715,-0.984435,0.539013,872.172791,0.726215,0.666066,0.695110,0.657174,0.764937,0.887302,0.051181,0.579885,0.732279,0.873306
125677.000000,876.343323,915.533081,871.533691,953.738953,1.286010,-2.242668,-0.882474,0.552828,879.980652,0.735397,0.674693,0.700380,0.665988,0.767779,0.894770,0.051629,0.627358,0.741107,0.875527
125687.000000,890.435059,915.533081,877.640259,960.679321,1.324474,-2.159271,0.222684,0.567349,888.050110,0.733582,0.683351,0.705804,0.674907,0.768353,0.902235,0.052124,0.648812,0.738902,0.870665
125697.000000,900.613525,937.510498,881.710327,972.554504,1.408928,-2.063252,1.503205,0.588536,897.431274,0.727385,0.707846,0.735295,0.699674,0.770478,0.910631,0.050515,0.570215,0.730419,0.864493
125707.000000,917.855896,937.510498,894.793701,979.339172,1.421437,-1.997795,0.960110,0.611069,907.259888,0.727726,0.733349,0.764313,0.725393,0.771372,0.919154,0.048646,0.628852,0.728600,0.862237
125717.000000,921.977722,943.545044,896.704224,994.266541,1.357694,-1.982170,-0.698476,0.627626,916.268127,0.739878,0.746415,0.775386,0.738568,0.772451,0.927243,0.047799,0.594519,0.740143,0.864599
125727.000000,928.928833,944.443298,899.934204,1007.367798,1.305656,-1.941861,-0.021501,0.638634,924.470825,0.740494,0.748356,0.770610,0.740647,0.771102,0.934948,0.047828,0.592071,0.740460,0.869805
125737.000000,930.938232,951.334778,922.079590,1008.443420,1.300076,-1.914168,0.695550,0.645798,932.110840,0.730854,0.743284,0.756872,0.735828,0.763856,0.942066,0.049095,0.698219,0.732071,0.871473
125747.000000,950.962463,953.355408,924.134949,1020.428894,1.299139,-1.934687,-0.237299,0.656689,940.474670,0.734932,0.747371,0.757929,0.740317,0.761816,0.949638,0.049223,0.660222,0.736533,0.873020
125757.000000,953.924011,970.315552,929.097900,1033.431030,1.268746,-1.968383,-0.896310,0.668365,949.084900,0.747340,0.754660,0.764593,0.748001,0.763358,0.957282,0.049181,0.607338,0.745854,0.876135
125767.000000,959.827881,975.325867,940.087769,1036.503662,1.216232,-2.016985,-0.276296,0.676919,957.265503,0.750971,0.756048,0.762958,0.749775,0.764431,0.964840,0.049361,0.641228,0.750631,0.876707
125777.000000,967.678589,989.267944,946.095825,1056.609741,1.164102,-2.021958,0.782174,0.686880,965.777893,0.746344,0.762038,0.768785,0.756159,0.763255,0.972500,0.049314,0.594626,0.743161,0.872796
125787.000000,979.526733,989.267944,953.176453,1057.708618,1.100308,-2.022973,1.918115,0.695365,974.131470,0.729401,0.765015,0.770260,0.759533,0.756530,0.980113,0.049283,0.628018,0.724373,0.865119
125797.000000,986.595459,1006.197998,960.284485,1061.823486,1.032891,-2.023731,2.206934,0.707698,983.243530,0.714480,0.777264,0.785641,0.772150,0.745717,0.987728,0.049060,0.595244,0.703369,0.855944
125807.000000,988.440125,1021.037170,967.398499,1081.931152,0.980156,-2.007982,2.204538,0.716706,991.896851,0.697786,0.784231,0.793163,0.779381,0.731395,0.995189,0.048904,0.552980,0.682135,0.848677
125817.000000,998.398071,1026.885376,978.511230,1089.013672,0.907059,-2.025764,0.409628,0.725329,1000.572937,0.699320,0.790211,0.799123,0.785615,0.720329,1.002551,0.048691,0.576170,0.679133,0.844494
125827.000000,1017.265503,1033.718018,983.605286,1095.148560,0.774269,-2.024202,0.785265,0.740073,1010.406433,0.703854,0.808425,0.822514,0.804091,0.711320,1.009972,0.048166,0.548283,0.673438,0.850123
125837.000000,1019.104980,1033.718018,994.054504,1104.375122,0.653875,-2.013015,0.901407,0.744774,1018.629944,0.697985,0.805337,0.814348,0.801141,0.701764,1.017164,0.047922,0.603316,0.665821,0.862055
125847.000000,1022.926331,1049.550293,994.830078,1110.572632,0.542251,-1.956286,1.181949,0.750938,1027.156250,0.691700,0.807447,0.814872,0.803449,0.691958,1.024314,0.047578,0.554611,0.655694,0.875706
125857.000000,1027.967407,1300.000000,1017.324585,1114.731323,0.451858,-1.911156,0.687179,0.741334,1032.984985,0.675302,0.775651,0.766549,0.771899,0.673202,1.029676,0.050274,0.642573,0.648141,0.874451
125867.000000,1046.871338,1073.103394,1017.550781,1125.851807,0.402219,-1.815950,0.912415,0.757391,1043.208252,0.683014,0.801265,0.804240,0.798021,0.666070,1.036819,0.049463,0.520203,0.642028,0.869992
125877.000000,1048.968872,1073.103394,1028.788696,1134.879883,0.351222,-1.727148,-1.061281,0.763454,1051.843140,0.700924,0.805325,0.808838,0.802317,0.664221,1.043806,0.048863,0.578989,0.655081,0.863316
125887.000000,1060.046143,1073.103394,1038.188232,1143.910767,0.329430,-1.645417,-1.804688,0.766658,1060.038452,0.723740,0.803244,0.804469,0.800460,0.668781,1.050812,0.048266,0.605291,0.675598,0.855734
125897.000000,1073.148560,1089.873169,1043.014282,1145.899414,0.348053,-1.561763,-0.902732,0.777943,1069.679932,0.745642,0.818925,0.826173,0.816387,0.676966,1.058209,0.047115,0.534688,0.688829,0.852998
125907.000000,1075.524658,1097.895386,1047.433350,1156.816650,0.371851,-1.451928,0.621719,0.783837,1078.490723,0.746917,0.823511,0.830941,0.821074,0.681046,1.065537,0.046206,0.534899,0.685991,0.853360
125917.000000,1080.310669,1112.783936,1052.291138,1168.621582,0.386937,-1.356260,0.678065,0.790039,1087.414551,0.747960,0.829509,0.837845,0.827156,0.682593,1.072895,0.045312,0.506953,0.682472,0.857476
125927.000000,1091.693604,1126.822510,1054.559082,1172.705811,0.421509,-1.223822,1.672165,0.800838,1097.204834,0.743859,0.845343,0.858810,0.843053,0.680439,1.080447,0.044114,0.466786,0.669944,0.868286
125937.000000,1095.947021,1118.661621,1071.869385,1174.473511,0.433295,-1.103488,0.581873,0.800081,1105.080688,0.739609,0.835679,0.841887,0.833366,0.677896,1.087922,0.043025,0.559684,0.668223,0.879350
125947.000000,1100.146118,1300.000000,1074.704468,1193.362915,0.397976,-1.026462,0.368896,0.778963,1109.385986,0.717488,0.784455,0.766328,0.782249,0.671842,1.094573,0.043178,0.549264,0.664593,0.870939
125957.000000,1107.212891,1123.451172,1085.038696,1205.360229,0.368322,-0.948905,0.009921,0.772218,1115.995239,0.713436,0.767216,0.744306,0.765552,0.669340,1.101580,0.042716,0.591502,0.666487,0.846563
125967.000000,1117.295898,1153.451172,1300.000000,1213.346558,0.317644,-0.894313,0.140552,0.795665,1127.820557,0.737987,0.814698,0.816084,0.813547,0.728681,1.121072,0.023913,0.392122,0.729662,0.831780
125977.000000,1121.284912,1175.329712,1300.000000,1220.383179,0.265475,-0.849903,0.193838,0.830682,1141.905273,0.773369,0.884231,0.915900,0.883163,0.776624,1.138739,0.008674,0.353394,0.778280,0.842642
