I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
271311.000000,1000.000000,990.257385,1.000000,0.008643,-0.012027,-0.012027,305.337036,0.009243,0.000000,-0.000599,18.603338,286.733704,0.000000,872.611084,1008.948792,968.510681,1018.928467,875.000000,1012.000000,979.000000,1024.000000,1.000000,1.000000,1.000000,1.000000,1.990628,1.142973,2.102980,3.128188,12.781683,6.329535,37.476559,4241.000000
271321.000000,1000.000000,989.950684,1.000000,0.009194,-0.024139,-0.024139,316.765625,0.009743,0.000000,-0.000548,30.000229,286.765381,0.000000,8192.000000,1012.828857,962.535889,1023.876282,8192.000000,1020.000000,962.000000,1033.000000,0.000000,1.000000,1.000000,1.000000,1.891417,1.111528,2.040719,3.128188,12.781683,6.329535,37.476559,4258.000000
271331.000000,1000.000000,989.721619,1.000000,0.009194,-0.027740,-0.027740,320.041565,0.009743,0.000000,-0.000548,33.241077,286.800476,0.000000,8192.000000,1012.828857,963.999573,1026.586304,8192.000000,1006.000000,966.000000,1031.000000,0.000000,1.000000,1.000000,1.000000,1.743868,1.039322,1.969001,3.939650,14.061573,7.687565,37.062065,4269.000000
271341.000000,1000.000000,989.535889,1.000000,0.009781,-0.027540,-0.027540,320.424530,0.010278,0.000000,-0.000497,33.588593,286.835938,0.000000,8192.000000,1006.762878,963.999573,1026.586304,8192.000000,1000.000000,968.000000,1022.000000,0.000000,1.000000,1.000000,1.000000,1.560672,0.994594,1.897019,3.939650,14.061573,7.687565,37.062065,4272.000000
271351.000000,1000.000000,989.359131,1.000000,0.009781,-0.026930,-0.026930,319.910431,0.010278,0.000000,-0.000497,33.039623,286.870819,0.000000,831.814758,1001.516968,965.612488,1023.364197,829.000000,1001.000000,967.000000,1027.000000,1.000000,1.000000,1.000000,1.000000,1.399207,0.973244,1.830860,1.840019,12.177514,11.924726,13.956276,4272.000000
271361.000000,1000.000000,989.178040,1.000000,0.010193,-0.029363,-0.029363,322.509094,0.010641,0.000000,-0.000447,35.600723,286.908386,0.000000,831.814758,1001.516968,965.612488,1019.596191,829.000000,1012.000000,966.000000,1023.000000,1.000000,1.000000,1.000000,1.000000,1.278730,0.972031,1.765554,1.840019,12.177514,11.924726,13.956276,4271.000000
271371.000000,1000.000000,989.011902,1.000000,0.010193,-0.033632,-0.033632,326.392700,0.010641,0.000000,-0.000447,39.442688,286.950012,0.000000,831.814758,1006.317505,965.612488,1019.596191,841.000000,1006.000000,980.000000,1022.000000,1.000000,1.000000,1.000000,1.000000,1.175664,0.941613,1.699257,-1.617288,10.746913,6.989247,21.004677,4273.000000
271381.000000,1000.000000,988.873962,1.000000,0.010590,-0.035604,-0.035604,328.568787,0.010988,0.000000,-0.000398,41.574905,286.993896,0.000000,831.676147,1012.385254,964.837646,1018.832153,815.000000,1019.000000,962.000000,1007.000000,1.000000,1.000000,1.000000,1.000000,1.020073,0.885510,1.636907,-1.617288,10.746913,6.989247,21.004677,4277.000000
271391.000000,1000.000000,988.786560,1.000000,0.010590,-0.032522,-0.032522,325.835449,0.010988,0.000000,-0.000398,38.800606,287.034851,0.000000,825.994019,1016.117554,971.471985,1017.625244,824.000000,1016.000000,972.000000,1020.000000,1.000000,1.000000,1.000000,1.000000,0.841712,0.804599,1.567053,-4.195078,9.253042,12.550254,18.787140,4279.000000
271401.000000,1000.000000,988.689636,1.000000,0.010864,-0.025818,-0.025818,320.083191,0.011213,0.000000,-0.000350,33.013504,287.069702,0.000000,825.794006,1016.117554,963.677429,1009.897888,824.000000,1016.000000,964.000000,1012.000000,1.000000,1.000000,1.000000,1.000000,0.707063,0.775990,1.499300,-4.195078,9.253042,12.550254,18.787140,4276.000000
271411.000000,1000.000000,988.617798,1.000000,0.010864,-0.013949,-0.013949,309.424561,0.011213,0.000000,-0.000350,22.331301,287.093262,0.000000,825.794006,1015.990234,965.835022,1017.625244,816.000000,1009.000000,966.000000,1029.000000,1.000000,1.000000,1.000000,1.000000,0.625249,0.798904,1.432576,-7.467188,7.458175,12.759585,36.408783,4270.000000
271421.000000,1000.000000,988.531433,1.000000,0.011080,-0.003002,-0.003002,299.780365,0.011382,0.000000,-0.000302,12.673726,287.106628,0.000000,817.709351,1011.733826,965.835022,1010.004700,816.000000,1012.000000,971.000000,1012.000000,1.000000,1.000000,1.000000,1.000000,0.584133,0.847541,1.368717,-7.467188,7.458175,12.759585,36.408783,4260.000000
271431.000000,1000.000000,988.482910,1.000000,0.011080,0.008525,0.008525,289.409058,0.011382,0.000000,-0.000302,2.300002,287.109070,0.000000,817.709351,1011.733826,965.835022,1027.001465,818.000000,1013.000000,964.000000,1032.000000,1.000000,1.000000,1.000000,1.000000,0.560603,0.861874,1.306884,-9.203481,5.892875,6.464101,25.439251,4250.000000
271441.000000,1000.000000,988.435852,1.000000,0.011261,0.016965,0.016965,281.970703,0.011517,0.000000,-0.000256,-5.132947,287.103638,0.000000,819.681824,1012.682861,970.946106,1011.120667,824.000000,1023.000000,971.000000,1013.000000,1.000000,1.000000,1.000000,1.000000,0.505659,0.856986,1.236728,-9.203481,5.892875,6.464101,25.439251,4240.000000
271451.000000,1000.000000,988.390808,1.000000,0.011261,0.024666,0.024666,275.027069,0.011517,0.000000,-0.000256,-12.063846,287.090912,0.000000,819.681824,1012.682861,964.263672,1018.284851,810.000000,1010.000000,964.000000,1020.000000,1.000000,1.000000,1.000000,1.000000,0.398098,0.863420,1.160093,-9.039597,5.845096,7.321283,31.776585,4232.000000
271461.000000,1000.000000,988.342224,1.000000,0.011398,0.031108,0.031108,269.333496,0.011609,0.000000,-0.000211,-17.738691,287.072174,0.000000,811.463196,1010.282104,964.263672,1018.284851,798.000000,1011.000000,961.000000,1022.000000,1.000000,1.000000,1.000000,1.000000,0.276742,0.874374,1.087652,-9.039597,5.845096,7.321283,31.776585,4225.000000
