tick,gx_raw,gy_raw,gz_raw,ax_raw,ay_raw,az_raw,gx_f,gy_f,gz_f,ax_f,ay_f,az_f,roll_log,pitch_log,yaw_log,acc_roll,acc_pitch,gyro_mag_f,acc_mag_f,roll_cur,pitch_cur,yaw_cur,int_x_dps,int_y_dps,zbias_dps,acc_weight_final,is_static,roll_oldsim,pitch_oldsim,yaw_oldsim
249600,-0.003717,-0.173041,0.073356,0.081543,-0.039551,-1.004883,-0.112828,-0.037837,0.047421,0.086823,-0.038484,-0.993715,2.197045,5.006192,-8.216036,2.2178083482267255,4.98965252780841,0.12810365878459523,0.9982428325863402,2.1974792388928868,5.005112760822331,0.9490362269217578,0.08695780261241738,0.06212725640306893,0.021638495888564417,0.9949795216752576,1,2.1100407062265347,4.942631110757331,-0.8031510170306836
249650,-0.125668,-0.173041,0.012381,0.081543,-0.039551,-1.00293,-0.067676,-0.058846,0.005771,0.087492,-0.038525,-0.99416,2.197087,5.005484,-8.216023,2.2191760038717945,5.025659472558403,0.08986766455739238,0.9987457791094789,2.1975153669273584,5.00436227494381,0.9490460657523627,0.08696287900070478,0.0621187469451525,0.021591059505905178,0.9964165117413684,1,2.1100712775772825,4.941887119168927,-0.8028807922424088
249700,-0.125668,-0.05109,0.012381,0.081055,-0.037598,-1.009277,-0.083592,-0.04861,0.033633,0.086835,-0.038747,-0.993991,2.199154,5.005902,-8.215824,2.2323301876153194,4.98891112896738,0.102380336261413,0.9985287954360654,2.1996351424108296,5.004727015372183,0.9492400355498448,0.08700826502443554,0.06212905338723381,0.02260540815800426,0.9957965583887584,1,2.1121817696713943,4.942256104376764,-0.8024291834227565
249750,-0.125668,-0.112065,-0.048595,0.07959,-0.038574,-1.002441,-0.081702,-0.057865,0.008391,0.087261,-0.038521,-0.994708,2.198277,5.005496,-8.215809,2.2177245895170263,5.0097157126721426,0.10046882058628935,0.999270911628073,2.1987634754385588,5.004300132794617,0.9492518257218507,0.08701344865911945,0.062126241501631374,0.023179510726999513,0.9979168903659229,1,2.11130750379492,4.941838390665098,-0.8021566964991967
249800,-0.003717,-0.173041,0.073356,0.082031,-0.041016,-1.000977,-0.105672,-0.083445,-0.000158,0.087045,-0.038456,-0.994211,2.198945,5.005006,-8.215645,2.215091803408896,4.999872219041976,0.13464644285312555,0.9987548290156097,2.1994363612577357,5.003862402063875,0.9494123949891633,0.08704959909002584,0.062116735724096525,0.023193866042823825,0.9964423686160279,1,2.111975863452964,4.9414090810607,-0.8017377443757225
249850,-0.125668,-0.05109,0.073356,0.08252,-0.038574,-1.004395,-0.102413,-0.06842,0.011785,0.086989,-0.038152,-0.993089,2.198895,5.004115,-8.215624,2.2000788591411102,5.002338787409548,0.12372794831403292,0.9976213826627816,2.1994016529752916,5.002960418548724,0.9494353763774535,0.08705569854055605,0.06210071079707025,0.024587392445734498,0.9932039504650901,1,2.1119287139964107,4.940510309404413,-0.8014551458491899
249900,-0.125668,-0.112065,-0.048595,0.081055,-0.039551,-1.005371,-0.116093,-0.117023,0.056932,0.086886,-0.038137,-0.993243,2.199517,5.003434,-8.215597,2.1988740680853773,4.9956789772452765,0.17439386400329573,0.9977651350964314,2.1999963003863443,5.002366958115875,0.949462751913151,0.08706551853699568,0.06209705645264952,0.025554391161352726,0.9936146717040897,1,2.112505599960552,4.939916486090675,-0.8011683614523226
249950,-0.064692,-0.05109,0.012381,0.081055,-0.038574,-1.004395,-0.080917,-0.08285,0.003271,0.08726,-0.038397,-0.99319,2.19996,5.00258,-8.215569,2.2139681051141085,5.017289008962162,0.11585500778990954,0.9977549866119437,2.2004568560480555,5.001565203963281,0.9494905289782063,0.08707372096874563,0.062085337410918325,0.02606419383476773,0.993585676034125,1,2.112950413428716,4.93911588649621,-0.8008812294398225
250000,-0.064692,-0.05109,-0.048595,0.081055,-0.036621,-1.006348,-0.128627,-0.072585,0.01499,0.086045,-0.038444,-0.993111,2.199403,5.001184,-8.215552,2.2168515759882257,4.948160015291768,0.148452643809398,0.9975726246654927,2.1999145820113863,5.000193342533652,0.9495138156802724,0.08708434405783379,0.06207006533836273,0.02656430017510283,0.9930646419014076,1,2.112393102434686,4.937745640731519,-0.8005980876559025
250050,-0.125668,-0.112065,0.012381,0.080566,-0.040527,-1.00293,-0.113211,-0.062189,0.027749,0.086926,-0.038612,-0.993545,2.199915,5.000844,-8.215473,2.225557858709577,4.996366273778219,0.13211437939528006,0.9980875127186994,2.20040780212181,4.99985012312651,0.9495899095987255,0.08709880402741413,0.06205672453644311,0.02681048885459797,0.9945357506248556,1,2.1128686160974834,4.937403416714474,-0.800263986844655
250100,-0.125668,-0.05109,0.012381,0.079102,-0.036621,-1.005859,-0.125241,-0.036604,0.006033,0.086851,-0.038296,-0.992484,2.198282,5.000208,-8.215428,2.2097194285459927,4.997440106867532,0.1306198988898705,0.9970126228253081,2.198761686263581,4.999161756854229,0.9496309755322546,0.08710862237792352,0.062044059912034044,0.026971421257892772,0.9914646366437375,1,2.1112084627518297,4.936718775932797,-0.7999636895916379
250150,-0.125668,-0.112065,0.012381,0.083984,-0.035645,-1.003418,-0.07676,-0.071216,0.039419,0.087088,-0.038153,-0.992895,2.198678,5.000091,-8.215336,2.200565926816048,5.008974788007762,0.11188241066852288,0.9974369414544461,2.1991174860479847,4.9990555067689435,0.9497196309571347,0.08712757190889163,0.062039170226485606,0.027455481795283752,0.9926769755841316,1,2.1115443362193824,4.936612587359173,-0.7996170013177204
250200,-0.125668,-0.112065,-0.048595,0.081543,-0.037109,-1.005371,-0.067101,-0.006291,0.011127,0.087441,-0.038906,-0.992818,2.199382,5.001217,-8.215202,2.2441268985176133,5.0294145245373185,0.06830762044603808,0.9974202657059862,2.1998086496783245,5.000165365459464,0.9498475195838505,0.08715143076817904,0.06204944048947512,0.026512363780504384,0.992629330588532,1,2.1122120731681604,4.937719967134656,-0.7992322919582462
250250,-0.064692,-0.112065,-0.048595,0.082031,-0.039063,-1.003906,-0.097362,-0.086187,0.008774,0.087236,-0.038586,-0.993472,2.20009,5.00175,-8.215118,2.2242240087436462,5.014464967474071,0.13032475240337119,0.9980408878778464,2.20053184071542,5.000721585826456,0.9499209564290303,0.08717020565322957,0.062065291206668684,0.025820001716804212,0.9944025367938468,1,2.1129179131019127,4.938277250825369,-0.7988998347168705
250300,-0.125668,-0.05109,0.073356,0.083984,-0.037598,-1.004395,-0.11134,-0.051313,0.026025,0.086747,-0.037796,-0.993654,2.200079,5.002036,-8.215046,2.1783314757340215,4.985742573156757,0.12532725239946815,0.998149212964174,2.200533600054167,5.000958040157531,0.9499921716087659,0.08717928017711533,0.062053801790043606,0.024944748538350485,0.9947120370404973,1,2.1129039239723206,4.938515665063888,-0.7985704560803927
250350,-0.064692,-0.112065,-0.048595,0.08252,-0.037598,-1.00293,-0.093794,-0.088404,0.064758,0.087013,-0.038105,-0.993848,2.199835,5.001839,-8.215088,2.1956947231912944,4.999924572255025,0.14424347547116298,0.9983772334633838,2.200285970922883,5.000745606100986,0.9499475154799768,0.08717085543165407,0.062053495242609516,0.025565990338894232,0.9953635241810966,1,2.1126499417052425,4.938311199398489,-0.7983536478192805
250400,-0.125668,-0.112065,0.134332,0.080078,-0.038574,-1.002441,-0.093194,-0.02489,0.085313,0.086898,-0.037926,-0.993136,2.199744,5.00072,-8.215056,2.18695560147928,4.996940630080671,0.1287747712286844,0.9976516217477923,2.20019612874967,4.999621863646139,0.9499752205848453,0.08717795696342485,0.06203286371035401,0.027272650015226132,0.9932903478508351,1,2.112546515814775,4.937190329504418,-0.7980661291528505
