I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20
267862.000000,1000.000000,990.275574,0.000000,-1.942785,0.271990,-0.117339,0.000000,0.154651,0.000000,0.000000,-0.927642,-0.032858,0.000000,-0.960500,6.626017,0.374651,-2.760500,1.411987,-3.383620,-0.718154
267882.000000,1000.000000,993.078796,0.000000,-1.905748,0.266805,-0.116958,0.000000,0.149847,0.000000,0.000000,-0.959231,-0.034228,0.000000,-0.993459,6.851647,0.369847,-2.793459,1.366345,-3.314360,-0.770238
267902.000000,1000.000000,997.103577,0.000000,-1.930455,0.270264,-0.116571,0.000000,0.153692,0.000000,0.000000,-0.855870,-0.035451,0.000000,-0.891321,6.113356,0.373692,-2.691320,1.316021,-3.144306,-0.822015
267922.000000,1000.000000,997.822754,0.000000,-2.168964,0.303655,-0.116138,0.000000,0.187517,0.000000,0.000000,-0.557825,-0.036248,0.000000,-0.594073,3.984467,0.407517,-2.394073,1.250097,-2.982367,-0.859116
267942.000000,1000.000000,1000.521912,0.000000,-2.402691,0.336377,-0.115657,0.000000,0.220720,0.000000,0.000000,-0.323267,-0.036709,0.000000,-0.359976,2.309047,0.440720,-2.159976,1.235484,-2.904799,-0.883704
267962.000000,1000.000000,1003.508972,0.000000,-1.174446,0.164422,-0.115422,0.000000,0.049000,0.000000,0.000000,-0.286143,-0.037118,0.000000,-0.323261,2.043878,0.269000,-2.123261,1.275606,-2.924831,-0.908782
267982.000000,1000.000000,1003.904785,0.000000,-0.329651,0.046151,-0.115356,0.000000,-0.069205,0.000000,0.000000,-0.444263,-0.037753,0.000000,-0.482016,3.173306,0.150795,-2.282016,1.206832,-2.957962,-0.927472
268002.000000,1000.000000,1005.223816,0.000000,-0.074150,0.010381,-0.115341,0.000000,-0.104960,0.000000,0.000000,-0.741906,-0.038813,0.000000,-0.780719,5.299331,0.115040,-2.580719,1.117044,-2.809162,-0.944949
268022.000000,1000.000000,1006.153625,0.000000,-0.123765,0.017327,-0.115317,0.000000,-0.097990,0.000000,0.000000,-0.651644,-0.039744,0.000000,-0.691387,4.654597,0.122010,-2.491387,1.019321,-2.570489,-0.968995
268042.000000,1000.000000,1007.424561,0.000000,-1.112031,0.155684,-0.115094,0.000000,0.040590,0.000000,0.000000,-0.276418,-0.040139,0.000000,-0.316556,1.974413,0.260590,-2.116556,1.039037,-2.299317,-1.005079
268062.000000,1000.000000,1010.721313,0.000000,-1.760303,0.246442,-0.114742,0.000000,0.131700,0.000000,0.000000,0.075350,-0.040031,0.000000,0.035319,-0.538211,0.351700,-1.764681,1.191827,-2.167660,-1.041001
268082.000000,1000.000000,1013.273560,0.000000,-2.389355,0.334510,-0.114264,0.000000,0.220245,0.000000,0.000000,0.148288,-0.039819,0.000000,0.108468,-1.059197,0.440245,-1.691531,1.306471,-2.217161,-1.056651
268102.000000,1000.000000,1015.283508,0.000000,-2.354116,0.329576,-0.113794,0.000000,0.215783,0.000000,0.000000,-0.128941,-0.040003,0.000000,-0.168945,0.921009,0.435783,-1.968945,1.393387,-2.324681,-1.067161
268122.000000,1000.000000,1016.714233,0.000000,-1.959250,0.274295,-0.113402,0.000000,0.160893,0.000000,0.000000,-0.422727,-0.040607,0.000000,-0.463335,3.019482,0.380893,-2.263335,1.337739,-2.286463,-1.069432
