I0,I1,I2,I3
7.000000,2.000000,-2.559929,2.577001
7.000000,2.000000,6.231483,2.131622
7.000000,2.000000,-2.544917,2.578570
7.000000,2.000000,-2.539932,2.581076
2.000000,1.000000,5.350554,1.801544
2.000000,1.000000,-2.641363,2.543707
2.000000,1.000000,-2.637082,2.618429
7.000000,1.000000,5.610469,1.770937
7.000000,1.000000,-2.601404,2.617453
7.000000,1.000000,-2.596916,2.547669
9.000000,1.000000,6.237619,1.531475
9.000000,1.000000,-2.516667,2.593439
9.000000,1.000000,-2.511677,2.595944
5.000000,0.000000,6.058306,1.239367
5.000000,0.000000,-2.528348,2.563163
5.000000,0.000000,-2.523502,2.492954
6.000000,0.000000,6.102715,1.218660
6.000000,0.000000,-2.513291,2.492244
6.000000,0.000000,-2.508409,2.494019
6.000000,0.000000,6.137491,0.994826
6.000000,0.000000,-2.499326,2.468755
6.000000,0.000000,-2.494416,2.470351
8.000000,1.000000,6.456254,0.973304
8.000000,1.000000,-2.450999,2.469347
8.000000,1.000000,-2.445834,2.470926
6.000000,0.000000,6.324761,0.843777
6.000000,0.000000,-2.456553,2.456858
6.000000,0.000000,-2.451493,2.530813
5.000000,1.000000,6.093410,1.075781
5.000000,1.000000,-2.474381,2.560793
5.000000,1.000000,-2.469506,2.562934
8.000000,1.000000,6.469784,1.176253
8.000000,1.000000,-2.419165,2.577212
8.000000,1.000000,-2.413990,2.579433
5.000000,0.000000,6.281426,1.101237
5.000000,0.000000,-2.431567,2.572592
5.000000,0.000000,-2.426542,2.574753
7.000000,2.000000,6.390091,0.929552
7.000000,2.000000,-2.408390,2.556175
7.000000,2.000000,-2.403278,2.558198
5.000000,0.000000,6.097585,1.034815
5.000000,0.000000,-2.433501,2.572938
5.000000,0.000000,-2.428623,2.575046
8.000000,0.000000,6.448996,0.876602
8.000000,0.000000,-2.381294,2.558041
8.000000,0.000000,-2.376135,2.560023
6.000000,-1.000000,6.570521,0.529435
6.000000,-1.000000,-2.356296,2.520066
6.000000,-1.000000,-2.351039,2.521770
4.000000,0.000000,6.112543,0.564306
4.000000,0.000000,-2.401107,2.527685
4.000000,0.000000,-2.396217,2.529417
9.000000,1.000000,6.724333,0.720866
9.000000,1.000000,-2.317422,2.477581
9.000000,1.000000,-2.312043,2.478957
3.000000,0.000000,6.030668,0.517472
3.000000,0.000000,-2.390458,2.455764
3.000000,0.000000,-2.385633,2.529458
9.000000,1.000000,6.645858,0.738790
9.000000,1.000000,-2.306494,2.485407
9.000000,1.000000,-2.301177,2.486798
5.000000,0.000000,6.506352,0.617946
5.000000,0.000000,-2.312713,2.473591
5.000000,0.000000,-2.307508,2.474885
4.000000,0.000000,6.227952,0.603236
4.000000,0.000000,-2.335933,2.474403
4.000000,0.000000,-2.330951,2.475686
9.000000,1.000000,6.888080,0.667933
9.000000,1.000000,-2.246225,2.484784
9.000000,1.000000,-2.240714,2.486118
4.000000,1.000000,6.507726,0.691955
4.000000,1.000000,-2.281151,2.490354
4.000000,1.000000,-2.275945,2.491708
5.000000,1.000000,6.265830,0.900207
5.000000,1.000000,-2.299959,2.518218
5.000000,1.000000,-2.294947,2.519738
11.000000,2.000000,7.258852,1.235440
11.000000,2.000000,-2.169977,2.561755
11.000000,2.000000,-2.164170,2.563543
3.000000,0.000000,6.583655,0.909618
3.000000,0.000000,-2.239926,2.525972
3.000000,0.000000,-2.234659,2.527500
8.000000,1.000000,6.914751,1.275943
8.000000,1.000000,-2.189396,2.573280
8.000000,1.000000,-2.183864,2.575100
6.000000,1.000000,6.816931,0.873756
6.000000,1.000000,-2.190149,2.528337
6.000000,1.000000,-2.184695,2.529836
7.000000,0.000000,6.870773,1.153488
7.000000,0.000000,-2.172738,2.565127
7.000000,0.000000,-2.167241,2.566849
7.000000,0.000000,6.961366,0.701908
7.000000,0.000000,-2.150801,2.514021
7.000000,0.000000,-2.145232,2.515383
4.000000,0.000000,6.493533,1.142472
4.000000,0.000000,-2.196177,2.569965
4.000000,0.000000,-2.190982,2.571679
9.000000,0.000000,6.979347,0.763753
9.000000,0.000000,-2.127101,2.527643
9.000000,0.000000,-2.121518,2.529054
5.000000,0.000000,6.578674,0.501205
5.000000,0.000000,-2.164335,2.498749
5.000000,0.000000,-2.159072,2.499950
7.000000,-1.000000,6.523394,0.293005
7.000000,-1.000000,-2.160487,2.476001
7.000000,-1.000000,-2.155269,2.549515
8.000000,-1.000000,6.689363,0.309928
8.000000,-1.000000,-2.130001,2.553074
8.000000,-1.000000,-2.124649,2.554602
6.000000,0.000000,6.535300,0.033374
6.000000,0.000000,-2.137908,2.522722
6.000000,0.000000,-2.132680,2.524029
7.000000,0.000000,6.567619,0.469280
7.000000,0.000000,-2.075228,2.577993
7.000000,0.000000,-1.712570,2.579649
5.000000,0.000000,6.294994,0.246319
5.000000,0.000000,-1.737529,2.554370
5.000000,0.000000,-0.991478,2.555847
11.000000,1.000000,7.079581,0.397514
11.000000,1.000000,-0.365495,2.575589
11.000000,1.000000,-0.046209,2.577187
6.000000,0.000000,6.828190,0.169265
6.000000,0.000000,-0.057633,2.551213
6.000000,0.000000,0.356680,2.552628
10.000000,2.000000,7.178956,0.850539
10.000000,2.000000,0.813966,2.636342
10.000000,2.000000,0.838429,2.638302
8.000000,2.000000,7.162222,0.878687
8.000000,2.000000,0.860871,2.643663
8.000000,2.000000,0.933641,2.645646
8.000000,1.000000,7.143345,0.610456
8.000000,1.000000,1.253697,2.615226
8.000000,1.000000,1.280532,2.616995
11.000000,2.000000,7.549891,0.963975
11.000000,2.000000,1.356477,2.661468
11.000000,2.000000,1.702977,2.663519
8.000000,2.000000,7.121601,1.044130
8.000000,2.000000,1.680640,2.675253
8.000000,2.000000,2.097986,2.677368
11.000000,1.000000,7.230354,0.928380
11.000000,1.000000,2.142900,2.665501
11.000000,1.000000,2.514322,2.667524
11.000000,4.000000,7.363667,1.132324
11.000000,4.000000,2.833440,2.694183
11.000000,4.000000,2.869731,2.696369
11.000000,1.000000,7.491224,1.208485
11.000000,1.000000,2.921432,2.707755
11.000000,1.000000,2.957825,2.710002
12.000000,2.000000,7.798988,1.234964
12.000000,2.000000,3.031395,2.715447
12.000000,2.000000,3.068035,2.717715
12.000000,1.000000,8.075120,1.087381
12.000000,1.000000,3.138030,2.702155
12.000000,1.000000,3.174890,2.704305
13.000000,4.000000,8.408460,1.519026
13.000000,4.000000,2.817011,2.758598
13.000000,4.000000,2.851418,2.761093
8.000000,2.000000,7.754066,1.557806
8.000000,2.000000,2.806774,2.768273
8.000000,2.000000,2.840657,2.819119
13.000000,1.000000,8.224920,1.667998
13.000000,1.000000,2.931419,2.835277
13.000000,1.000000,2.965679,2.838211
13.000000,1.000000,8.731171,1.290083
13.000000,1.000000,3.061094,2.795493
13.000000,1.000000,3.095759,2.798126
10.000000,2.000000,8.639268,1.479440
10.000000,2.000000,3.119322,2.823632
10.000000,2.000000,3.153913,2.826416
7.000000,3.000000,8.078064,1.660626
7.000000,3.000000,3.120712,2.851086
7.000000,3.000000,3.154854,2.854015
8.000000,3.000000,7.852592,2.089326
8.000000,3.000000,3.161760,2.908730
8.000000,3.000000,3.195722,2.912002
6.000000,2.000000,7.366541,1.845243
6.000000,2.000000,3.170969,2.885788
