t_s,target_mm,logged_h_mm,tof_obs_mm,tof_spread_mm,acc_up_mps2,logged_vz_mps,logged_throttle,logged_polluted,logged_gate_reason,A_trimmed_lpf_h_mm,A_trimmed_lpf_vz_mps,A_trimmed_lpf_accepted,A_trimmed_lpf_polluted,B_huber_ab_h_mm,B_huber_ab_vz_mps,B_huber_ab_accepted,B_huber_ab_polluted,C_physical_gate_ab_h_mm,C_physical_gate_ab_vz_mps,C_physical_gate_ab_accepted,C_physical_gate_ab_polluted,D_pollution_fsm_h_mm,D_pollution_fsm_vz_mps,D_pollution_fsm_accepted,D_pollution_fsm_polluted,E_recommended_mcu_h_mm,E_recommended_mcu_vz_mps,E_recommended_mcu_accepted,E_recommended_mcu_polluted,F_ported_c_logic_h_mm,F_ported_c_logic_vz_mps,F_ported_c_logic_accepted,F_ported_c_logic_polluted
315.706,1000.0,987.382996,,530.178463,0.697525,0.0,4342.0,1.0,0.0,289.6100814464003,4.511454664033239e-15,0,0,535.8215492758247,0.026753703072144922,0,0,599.0938275838015,0.06210958577211863,0,0,684.1635351732408,-0.002720144757049278,0,1,821.8646948703009,-0.002719432025017252,0,1,987.3853457135216,0.0,0,0
315.716,1000.0,987.349854,,529.500591,1.46591,0.0,4343.0,1.0,0.0,289.6100814464003,3.513520892349086e-15,0,0,536.1070619010853,0.02855126252606275,0,0,599.7380306829455,0.06442030991439744,0,0,684.1496930925246,-0.0013842080716263212,0,1,821.8508594892658,-0.0013835381035162166,0,1,987.3521719414185,0.0,0,0
315.726,1000.0,987.323303,,530.334331,1.216369,0.0,4344.0,1.0,0.0,289.6100814464003,2.736330070961468e-15,0,0,536.406537371967,0.029947547088171808,0,0,600.400119131098,0.06620884481525346,0,0,684.1464124886513,-0.0003280603873287417,0,1,821.8475851830927,-0.00032743061730524335,0,1,987.3256121099818,0.0,0,0
315.736,1000.0,987.302673,,533.446506,0.440793,0.0,4345.0,1.0,0.0,289.6100814464003,2.1310538592647914e-15,0,0,536.7081326057855,0.03015952338184923,0,0,601.064402554769,0.06642834236710093,0,0,684.1468550650104,4.4257635910982854e-05,0,1,821.8480336792901,4.48496197330713e-05,0,1,987.3050266886921,0.0,0,0
315.746,1000.0,987.286865,,528.652195,0.063041,0.0,4346.0,1.0,0.0,289.6100814464003,1.6596647455954196e-15,0,0,537.0061495260967,0.029801692031121492,0,0,601.7233039642033,0.06589014094342992,0,0,684.1477754147879,9.203497775632388e-05,0,1,821.8489595937156,9.259144254908703e-05,0,1,987.2891997328527,0.0,0,0
315.756,1000.0,987.273987,,528.652195,-0.422688,0.0,4348.0,1.0,0.0,289.6100814464003,1.2925469038697128e-15,0,0,537.2933558726032,0.02872063465065467,0,0,602.3671625995432,0.06438586353399563,0,0,684.1452590395788,-0.00025163752090905556,0,1,821.8464484492755,-0.00025111444400385824,0,1,987.2763183830053,0.0,0,0
315.766,1000.0,987.263184,,531.943996,-0.117216,0.0,4349.0,1.0,0.0,289.6100814464003,1.0066355287337324e-15,0,0,537.5744958839122,0.02811400113089485,0,0,603.0022383285298,0.06350757289865566,0,0,684.1419559188823,-0.0003303120696545122,0,1,821.8431502455019,-0.00032982037736362677,0,1,987.2655569646695,0.0,0,0
315.776,1000.0,987.255005,,535.4175680000001,0.501595,0.0,4351.0,1.0,0.0,289.6100814464003,7.839677497778308e-16,0,0,537.8589427200515,0.02844468361393143,0,0,603.6409952002265,0.06387568716966911,0,0,684.1428637454276,9.078265452475853e-05,0,1,821.8440626939547,9.124484527819085e-05,0,1,987.2573779368912,0.0,0,0
315.786,1000.0,987.249573,,532.500759,0.418272,0.0,4353.0,1.0,0.0,289.6100814464003,6.105540835269747e-16,0,0,538.1453969336487,0.028645421359722457,0,0,604.2817299432062,0.06407347429797242,0,0,684.1470632783801,0.000419953295253273,0,1,821.8482665715003,0.00042038775456149937,0,1,987.251938131121,0.0,0,0
315.796,1000.0,987.247314,,524.6191369999999,0.632634,0.0,4356.0,1.0,0.0,289.6100814464003,4.754995202508079e-16,0,0,538.437043844042,0.02916469103932662,0,0,604.9287100187561,0.06469800755499269,0,0,684.1560719113554,0.0009008632975380767,0,1,821.8572792883932,0.0009012716892878095,0,1,987.2496953393135,0.0,0,0
315.806,1000.0,987.249146,,521.135372,0.956401,0.0,4358.0,1.0,0.0,289.6100814464003,3.7031902637132917e-16,0,0,538.7386620657794,0.03016182217373672,0,0,605.5883483135505,0.06596382947944276,0,0,684.1721912343522,0.001611932299685792,0,1,821.8734024502725,0.0016123161879305408,0,1,987.2515152054539,0.0,0,0
