model,validation,group,value,count,total,coverage,direction_p50,direction_p90,direction_p99,direction_mean,distance_p50,distance_p90,distance_p99,distance_mean,relative_distance_p50,relative_distance_p90,catastrophic_rate
double_sphere_lut,base_to_2,log_id,3,21641,21706,0.9970054362848982,2.871075058331959,7.7822254536045445,22.381371295638754,4.014640507939151,0.06193220317057124,0.17969981521273337,0.3400591150993264,0.0825879312853123,0.06193220317057124,0.17969981521273337,0.005545030266623539
double_sphere_lut,base_to_2,log_id,5,17114,17184,0.9959264432029795,3.3737058478195463,7.639084975426487,20.443254853193142,4.241007260458004,0.09464041776811216,0.2916079552965265,0.6425753419199501,0.13203535083376408,0.0630936118454081,0.19440530353101765,0.004031786841182657
double_sphere_lut,base_to_2,log_id,7,26977,27202,0.9917285493713698,3.0264308671333455,6.916749852045086,21.00296939360901,3.9274224740290227,0.23217989261082517,0.8235784937672205,2.0030506148425045,0.35528879431858446,0.11608994630541258,0.41178924688361024,0.007005968046854728
double_sphere_lut,base_to_2,log_id,9,28412,28742,0.9885185442905852,2.3731296119325744,5.973621127359092,19.474087345228543,3.2631299923317365,0.20188916803552504,0.7299363562623126,2.156035047210676,0.33115711936206343,0.08075566721421001,0.29197454250492505,0.0036604251724623397
double_sphere_lut,base_to_2,log_id,11,23737,24200,0.9808677685950413,1.8449526431310572,5.577924041804523,15.86335472115986,2.754178051098073,0.270912158781067,0.7103239852105042,1.8590293683392205,0.3578836944766534,0.09030405292702233,0.23677466173683473,0.003538779121203185
double_sphere_lut,base_to_2,log_id,13,27839,28901,0.9632538666482129,1.932360187856791,6.036178369779382,17.73291037503866,2.9285056129156195,0.3390102408174993,1.0086682927913058,2.187145578162509,0.47055692877403427,0.0968600688049998,0.28819094079751595,0.003556162218470491
double_sphere_lut,base_to_2,image_region,center,12327,12397,0.9943534726143421,2.3674710250794675,5.655021588739394,10.230390467360088,2.861424075662905,0.13853970708551655,0.5340242813050038,1.297498683034191,0.22696457237207177,0.06975602963794607,0.2553878153571655,0.0017035775127768314
double_sphere_lut,base_to_2,image_region,edge,165288,167441,0.9871417394783835,2.7600427102971397,8.413891104420514,20.56155137527773,4.014688222478024,0.13387234317962732,0.6495179572801488,1.8451826051403484,0.26295573186775906,0.08128572093147657,0.26801523431441715,0.004446783795556846
double_sphere_lut,base_to_2,pose_change,low,89059,89922,0.9904027935321723,2.6395306954563593,7.992012031107663,19.602984938808255,3.834609571299781,0.1264393792069829,0.5559034581186074,1.637440099172772,0.23290060050410408,0.07299594737318293,0.23837075629660198,0.003492067056670297
double_sphere_lut,base_to_2,pose_change,high,88556,89916,0.9848747720094311,2.819217615618379,8.403927030008997,20.61859664770068,4.035255292552252,0.14413964672599777,0.7237434903230384,1.9749560627435718,0.2881716056765626,0.0889099233457361,0.2981481899778279,0.005025068882966711
pinhole_k1,2_to_base,overall,all,238726,240129,0.9941573071140929,3.058187175085802,8.281930771434077,22.253501708694994,4.179914330829964,0.08868524698147423,0.48392799926419294,1.0623497869146568,0.18159792170322517,0.0883802109383697,0.23423738906184033,0.004674815478833474
pinhole_k1,2_to_base,pair_type,same,205944,206777,0.9959715055349483,3.1633534424247953,8.542770495728094,22.155192937899905,4.277185901153335,0.0809425212924405,0.47143688689857266,1.0578052051020472,0.1701888561313665,0.0914296671608121,0.2425906821654816,0.003942819407217496
pinhole_k1,2_to_base,pair_type,cross,32782,33352,0.9829095706404414,2.4768934092284116,6.510657850047026,25.655406583755344,3.5688321430843652,0.19098214367248012,0.5349718275621989,1.101247964318507,0.2532722734856318,0.07409153258660417,0.177373208377259,0.009273381733878348
pinhole_k1,2_to_base,distance_m,0.5,86526,86548,0.9997458057956279,3.0601430845347988,7.820006606668562,16.193573272426136,3.8604263366962326,0.04595479312599959,0.1045002986273566,0.16381673910415265,0.05260520506754834,0.09190958625199919,0.2090005972547132,0.001745140189076116
pinhole_k1,2_to_base,distance_m,1.0,31743,31794,0.9983959237591998,3.6095387777705614,10.31022772363891,28.83924805533231,5.111142064986654,0.07533706999781753,0.2464132605239982,0.5148948714748922,0.10764971926853559,0.07533706999781753,0.2464132605239982,0.009230381501433387
pinhole_k1,2_to_base,distance_m,1.5,24122,24207,0.9964886189945057,2.8954524163944826,8.393935533039619,26.39808631792716,4.35543163343373,0.10994057656520406,0.36383230665798755,0.7226012554797384,0.157029965621461,0.07329371771013604,0.24255487110532506,0.007296244092529641
